iter	RMSE
0	479.8308412
1	466.6997283
2	453.7462344
3	442.6202453
4	431.2525541
5	420.994068866	410.436788
7	401.1483965
8	392.092667899	382.3205699110	372.8254396111	364.3448129112	357.6964441113	349.544821
14	341.7840644
15	334.4751224
16	327.9158953
17	321.3101513
18	315.7201524
19	310.0125694
20	304.6315937
21	299.6252427
22	295.5524398
23	291.3064749
24	287.0243062
25	282.0436536
26	278.4833665
27	273.7993092
28	269.0390952
29	264.7932152
30	261.3542766
31	257.5790704
32	254.8874767
33	251.834486
34	249.0290272
35	246.110047
36	243.2806265
37	239.2323469
38	237.0552079
39	234.109055
40	232.5588119
41	230.6674437
42	227.5723493
43	225.3630943
44	224.0115493
45	222.3864185
46	219.9533025
47	218.1470481
48	216.342862
49	214.5500019
50	212.1074587
51	210.520951
52	209.0101174
53	207.4503684
54	206.4697838
55	205.2500784
56	204.1315398
57	202.8986873
58	58	198.8242159	59	197.3789260	60	196.003936161	194.91137162	195.3887128
63	194.5384364
64	192.9075711
65	191.2959079
66	190.1496384
67	189.2432885
68	188.307667
69	187.2854968
70	186.3910024
71	186.0226073
72	185.2567161
73	184.2703047
74	183.4960958
75	182.6786257
76	181.6914212
77	180.765701
78	179.8031699
79	179.2373664
80	178.7847286
81	178.0127242
82	177.1429676
883	174.79258
884	175.5413787885	174.9890762886	174.4266115887	173.897363
88	171.6683701
89	171.0796427
90	172.5153687
91	171.3414429
92	170.9112708
93	170.4736054
94	169.9692006
95	169.3985196
96	168.770319
97	168.3611809
98	167.8511086
99	166.9743066
1100	164.65900061101	164.13599381102	163.52096381103	162.75401651104	162.25648521105	161.60312071106	161.13409741107	160.579646
108	160.0890516
109	159.5817685
110	160.7967058
111	160.4090191
112	159.8793087
113	159.37926471114	158.59495151115	158.3466492116	156.3764215
117	155.8931492
118	155.2903312
119	154.8369231
120	154.5374941
121	154.2818525
122	153.6229843
123	153.3201543
124	153.0093405
125	152.8885702
126	152.497678
127	152.0639893
128	151.7283596
129	150.947519
130	150.758643
131	150.4757544
132	149.9304227
133	149.5582662
134	149.2292425
135	148.8292658
136	148.489848
137	147.9707232
138	147.4620707
139	147.1931553
140	146.639187
141	146.53437
142	146.2127458
143	145.9202206
144	145.5480508
145	145.1021032
146	144.9142597
147	144.158724
148	143.615288
149	143.0876966
150	142.8109126
151	142.6491073
152	142.44977
153	142.2240598
154	141.8628358
155	141.598233
156	141.25074
157	141.0572381
158	140.6995301
159	140.4287
160	140.0373853
161	139.653522
162	139.1609463
163	138.5330209
164	138.0732838
165	137.8366061
166	137.5532142
167	137.3087323
168	137.1119911
169	136.8064668
170	136.287095
171	135.8350883
172	135.688257
173	135.192141
174	134.9806385
175	134.5402253
176	134.2271443
177	133.8736205
178	133.4611011
179	133.2281912
180	133.0414141
181	132.6107687
182	132.4291404
183	132.2503338
184	131.8852153
185	131.4475817
186	131.0330967
187	130.7866108
188	130.4977425
189	130.2796671
190	130.0455829
191	129.8309326
192	129.6613944
193	129.4241043
194	129.2067236
195	128.9795476
196	128.7401718
197	128.4256851
198	128.1096677
199	127.6906038
200	127.1818772
201	126.9972087
202	126.7864705
203	126.4605784
204	126.1962644
205	125.9791226
206	125.7042079
207	125.536721
208	125.1383294
209	124.905438
210	124.5953419
211	124.3113132
212	124.1536981
213	124.0270571
214	123.5903903
215	123.3712628
216	122.9830866
217	122.7890166
218	122.6095798
219	122.1829266
220	122.0173656
221	121.857076
222	121.7303244
223	121.59445223224	121.33205224225	121.17240225226	120.90129226227	120.4986822228	120.12856
229	119.7780382
230	119.4498648
231	119.1076785
232	118.8663131
233	118.682617
234	118.5353472
235	118.1517616
236	117.9080447
237	117.6161461
238	117.289469
239	117.051189
240	116.7291879
241	116.5623422
242	116.3985538
243	116.1338845
244	115.9328198
245	115.7924806
246	115.6577583
247	115.4999741
248	115.2072638
249	114.9398714
250	114.7336335
251	114.4073891
252	114.2227468
253	114.0520775
254	113.895651
255	113.7747432
256	113.638311
257	113.5226663
258	113.3677376
259	113.0417357
260	112.8921536
261	112.7060826
262	112.500875
263	112.2682842
264	112.1467213
265	112.0580695
266	111.9013693
267	111.7694253
268	111.4262825
269	111.157741
270	110.9186675
271	110.8347897
272	110.6934817
273	110.518056
274	110.3503254
275	110.2450305
276	110.134084
277	109.958512
278	109.7982657
279	109.6998262
280	109.5579978
281	109.4339254
282	109.1881396
283	108.9814416
284	108.8511961
285	108.7321064
286	108.5176652
